nom_editeur;adresse;code_postal;ville;departement;url_site_web;annee_creation;diffusion;distribution;nombre_titre_catalogue;nombre_publication;domaines_editoriaux;presence_salon_du_livre_paris_2014;racine_isbn;siret_ou_siren;id;wgs84
L'ENCYCLOPEDIE DES NUISANCES ÉDITIONS;41 rue Mazarine;75006;PARIS;75;;1991;Les Belles Lettres;Les Belles Lettres;44;2;Essai, analyse, critique;Non;910386;;IF76_043_7854189487;48.8542128,2.338448
WALRUS;48 rue Sarrette;75014;PARIS;75;www.walrus-books.com;2010;;;;;Tous genres;Non;36376;;IF76_043_8826387360;48.825403,2.3271186
ROVEN ÉDITIONS;21 rue Montbrun;75014;PARIS;75;www.rovenrevue.blogspot.com;2008;Les presses du réel;Les presses du réel;10;4;Arts (livres);Oui;918450;;IF06_043_10457028150;48.8283886,2.3301953
ÉDITIONS BD MUSIC;12 rue Frédéric Clément;92380;GARCHES;92;www.bdmusic.fr;2003;Harmonia Mundi;Harmonia Mundi;62;6;Bande dessinée alternative;Non;84907;;IF06_043_11262850530;48.840185,2.188425
ÉDITIONS CARISCRIPT;40 rue des Blancs Manteaux;75004;PARIS;75;www.cariscript.fr;1983;Auto-diffusion;Auto-distribution;158;3;Spiritualité;Non;87601;32697977000046;IF76_043_7826056976;48.8598137,2.3548204
SCOPE ÉDITIONS;7 rue Gassendi;75014;PARIS;75;www.scope-editions.com;1996;Auto-diffusion;Auto-distribution;48;5;Arts (livres);Non;912573;;IF76_043_7826057498;48.8356943,2.3275638
ÉDITIONS GALILÉE;9 rue Linné;75005;PARIS;75;www.editions-galilee.fr;1971;CDE;Sodis;100;20;"Beaux-arts ; Documents, actualités, essais ; Littérature langue française ; Roman, nouvelle ; Sciences humaines et sociales";Non;7186;;IF76_043_7826057783;48.8442451,2.3544937
ÉDITIONS LIBRÉCRIT - A.L.P.;9 rue Fays;94160;SAINT-MANDÉ;94;www.editions-librecrit.fr;2003;Auto-diffusion;Auto-distribution;26;3;"Documents, actualités, essais ; Ouvrage de documentation  ; Policier ; Religion/ésotérisme  ; Roman, nouvelle ; Théâtre  ; Tous genres";Non;915529;;IF76_043_7826057804;48.8473551,2.4183628
ÉDITIONS CHANDEIGNE;10 rue Tournefort;75005;PARIS;75;www.editions-chandeigne.com;1992;Volumen;Volumen;150;8;"Histoire  ; Littérature langue française ; Livre jeunesse ; Tous genres";Non;906462;;IF76_043_7854189406;48.8438894,2.3478796
MICHELIN CARTES ET GUIDES ÉDITIONS;27 cours de l'ile seguin;92100;BOULOGNE-BILLANCOURT;92;www.viamichelin.com;1900;Auto-diffusion;MDS;2110;100;Carte géographique et atlas;Non;6;;IF76_043_7854189523;48.8279373,2.2353896
PANORMITIS ÉDITIONS;5 rue Saint-Saëns;75015;PARIS;75;panormitis.free.fr;1994;Auto-diffusion;Auto-distribution;17;2;"Poésie ; Roman, nouvelle ; Sciences humaines et sociales  ; Tous genres";Non;911040;;IF76_043_7854189526;48.8540513,2.2920593
ÉDITIONS PETITE FRIPOUILLE;2 avenue de la Grange;94100;SAINT-MAUR-DES-FOSSÉS;94;www.petitefripouille.fr;2009;Auto-diffusion;Auto-distribution;10;2;Livre jeunesse;Non;9535370;51431251100017;IF76_043_8737762800;48.8048713,2.4895947
RUE DES PROMENADES ÉDITEUR BIMÉDIA;33 rue des Chaufourniers;75019;PARIS;75;www.ruedespromenades.com;2009;Auto-diffusion;;22;4;"Littérature langue française ; Poésie";Oui;918804;;IF76_043_8826340020;48.8777825,2.3747673
GRAINE 2 ÉDITIONS;6 rue au Pain;78100;SAINT-GERMAIN-EN-LAYE;78;www.graine2-editions.com;2007;Dilisco;Dilisco;50;20;"Guide de tourisme ; Livre jeunesse";Non;917537;;IF76_043_7826055473;48.8963052,2.0921102
ÉDITIONS DE BOCCARD;11 rue Médicis;75006;PARIS;75;www.deboccard.com;1866;Auto-diffusion;Auto-distribution;640;20;Sciences humaines et sociales;Non;7018;;IF76_043_7826055491;48.8481518,2.3396798
LES DEUX OCÉANS ÉDITIONS;19 rue du Val de Grâce;75005;PARIS;75;www.lesdeuxoceans.fr;1979;Dilisco;Auto-distribution;178;15;Religion/ésotérisme;Non;86681;;IF76_043_7826056082;48.8414215,2.3385294
HISTOIRE ET COLLECTIONS ÉDITIONS;5 avenue de la République;75541;PARIS;75;www.histoireetcollections.com;1984;Auto-diffusion;Auto-distribution;246;40;Sciences humaines et sociales;Non;35250;;IF76_043_7826057099;48.8668844,2.3675785
INDIGO ET CÔTÉ FEMMES;55 rue des Petites Écuries;75010;PARIS;75;www.indigo-cf.com;1986;Auto-diffusion;Auto-distribution;353;10;"Littérature langue française ; Mémoire, témoignage, biographie (littérature)";Non;911732;;IF76_043_7826057228;48.873764,2.3487432
ÉDITIONS DU REGARD;1 rue du Delta;75009;PARIS;75;www.editions-du-regard.com;1978;Auto-diffusion;Volumen;345;15;"Architecture ; Arts (livres) ; Beaux-arts ; Photographie";Non;84105;;IF76_043_7826055299;48.8823317,2.349626
GALAADE ÉDITIONS;43 rue des Cloys;75018;PARIS;75;www.galaade.com;2005;Harmonia Mundi;Harmonia Mundi;91;15;Littérature langue française;Non;35176;;IF76_043_7826055434;48.892643,2.337896
ÉDITIONS IN PRESS;12 rue du Texel;75014;PARIS;75;www.inpress.fr;1997;les PUF;UD;380;25;"Essai, analyse, critique  ; Sciences et techniques, médecine et gestion (livre";Non;912404;;IF76_043_7826055593;48.8366584,2.3198116
ÉDITIONS DESJONQUÈRES;15-17 rue au Maire;75003;PARIS;75;www.editions-desjonqueres.com;1983;Harmonia Mundi;Harmonia Mundi;190;9;"Littérature langue française ; Sciences humaines et sociales  ; Tous genres";Non;84321;;IF76_043_7826055902;48.8645938,2.3564669
ÉDITIONS DE L'OCDE (ORGANISATION DE COOPÉRATION ET DE DÉVELOPPEMENT ÉCONOMIQUES);2 rue André-Pascal;75016;PARIS;75;www.oecd-ilibrary.org;1961;La Documentation française;La Documentation française;8000;250;Sciences économiques;Non;9264;;IF76_043_7826056109;48.861157,2.269685
LES ÉDITIONS EDK;23 rue Daviel;75013;PARIS;75;www.edk.fr;1996;Sofedis;Sodis;200;12;Sciences humaines et sociales;Non;84254;;IF76_043_7826056148;48.8278796,2.3455986
ARGOL ÉDITIONS;2 square Vermenouze;75005;PARIS;75;www.argol-editions.fr;2005;Harmonia Mundi;Harmonia Mundi;70;10;"Arts (livres) ; Littérature langue française";Oui;915978;;IF76_043_7826056535;48.8408458,2.3496171
ÉDITIONS DE LA RAMONDA;3 allée Marie Laurent;75020;PARIS;75;www.laramonda.com;2006;Auto-diffusion;;11;4;Littérature langue française;Non;916306;49279319500016;IF76_043_7826056577;48.8497401,2.4036055
SCRINEO - LES CARNETS DE L'INFO;8 rue Saint-Marc;75002;PARIS;75;www.lescarnetsdelinfo.com;2006;Volumen;Volumen;111;20;Tous genres;Non;916628;47827666000014;IF76_043_7826056619;48.8703703,2.3416642
ÉDITIONS VERTIGE GRAPHIC;82 rue Amelot;75011;PARIS;75;www.vertige-graphic.com;1987;Makassar;Makassar;156;;"Bande dessinée ; Manga";Non;84999;34028223500027;IF76_043_7826057150;48.860989,2.3680769
SÉLECTION DU READER'S DIGEST ÉDITIONS;1-7 avenue Louis Pasteur;92220;BAGNEUX;92;www.selectionclic.com;1947;Interforum;Interforum;362;80;"Livre jeunesse ; Loisirs, vie pratique, tourisme  ; Tous genres";Non;7098;;IF76_043_7830379990;48.7969808,2.3171361
INALCO PUBLICATIONS LANGUES O' ÉDITIONS;2 rue de Lille;75007;PARIS;75;www.inalco.fr;1974;Auto-diffusion;Auto-distribution;420;12;"Encyclopédies et dictionnaires ; Essai, analyse, critique";Non;85831;;IF76_043_7854189511;48.8576357,2.3327407
ÉDITIONS B2;19 quai aux Fleurs;75004;PARIS;75;www.editions-b2.com;2011;Auto-diffusion;Auto-distribution;19;7;"Architecture contemporaine ; Architecture et design  ; Histoire  ; Patrimoine (art visuel)";Oui;36509;;ADIF_043_9355606790;48.8547037,2.3509339
ÉDITIONS SELI ARSLAN;14 rue du Repos;75020;PARIS;75;superieur.deboeck.com;1996;De Boeck;De Boeck Services;168;10;Sciences et techniques, médecine et gestion (livre);Non;84276;;IF76_043_7826055785;48.858881,2.391938
