code_int;ext_arrete_covid;etablissement;adresse;geopoint;domaine_activite;terrasse_sur_stationnement;terrasse_ouverte;terrasse_fermee;extension_terrasse;terrasse_marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/18467.pdf;;BREUGHEL L'ANCIEN;30 Rue de la Chaîne 31000 TOULOUSE;43.609409,1.439185;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/18645.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/18645_COVID.pdf;CHEZ MARCEL;36 Rue de Rémusat 31000 TOULOUSE;43.606391,1.444721;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/19105.pdf;;CARPE DIEM;18 Rue du Taur 31000 TOULOUSE;43.605787,1.442675;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/19134.pdf;;LA MILONGA;76 Avenue des Minimes 31200 TOULOUSE;43.619832,1.436194;Terrasse sur stationnement;Terrasse sur stationnement;Sans terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/19527.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/19527_COVID.pdf;LE RIVALS;2 Rue Rivals 31000 TOULOUSE;43.606019,1.444634;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/19886.pdf;;BFC FOOD;29 Avenue de Grande Bretagne 31300 TOULOUSE;43.597204,1.421127;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/19992.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/19992_COVID.pdf;LE NOUVEAU THE;7 Rue Tolosane 31000 TOULOUSE;43.599365,1.446959;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/20283.pdf;;CAFFE GUSTO;7 Place Saint Etienne 31000 TOULOUSE;43.599706,1.448613;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/20742.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/20742_COVID.pdf;WOK TO WALK;6 Rue Romiguières 31000 TOULOUSE;43.604804,1.441952;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/21449.pdf;;LE TACOS DE TOULOUSE;40 Allées Charles de Fitte 31300 TOULOUSE;43.596339,1.43217;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/21725.pdf;;LE CYPRIEN;18 Avenue Etienne Billières 31300 TOULOUSE;43.597469,1.428142;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/22269.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/22269_COVID.pdf;L'HEURE DU SINGE;59 Rue Pierre-Paul Riquet 31000 TOULOUSE;43.604988,1.454055;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/22380.pdf;;DUCK ME;7 Rue de Rémusat 31000 TOULOUSE;43.605324,1.443883;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/22424.pdf;;B 12;44 Rue des Sept Troubadours 31000 TOULOUSE;43.60695,1.452764;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/22596.pdf;;KEBAB GRILL;108 Route d'Albi 31000 TOULOUSE;43.635128,1.463878;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/23365.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/23365_COVID.pdf;CAFE CONCORDE;17 RUE DE LA CONCORDE 31000 TOULOUSE;43.611614,1.444543;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/24593.pdf;;LA GRAND-PIZZERIA;4 Rue Castellane 31000 TOULOUSE;43.604913,1.450184;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/24714.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/24714_COVID.pdf;ORLY;9 Place du Président Thomas Wilson 31000 TOULOUSE;43.604683,1.446742;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/24719.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/24719_COVID.pdf;THE BLACK LION;4 Allées Paul Feuga 31000 TOULOUSE;43.592353,1.44383;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/24841.pdf;;LES CREPES DE BENOIT;6 Rue Pierre de Fermat 31000 TOULOUSE;43.598869,1.449063;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/25225.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/25225_COVID.pdf;BWAMOA;41 Rue des Tourneurs 31000 TOULOUSE;43.60077,1.445021;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/25234.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/25234_COVID.pdf;HOPSCOTCH;3 Rue Baour Lormian 31000 TOULOUSE;43.602986,1.443921;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/25238.pdf;;LES DELICES;5 Place Arnaud Bernard 31000 TOULOUSE;43.610876,1.438835;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/25258.pdf;;LE BATEAU LAVOIR;6 Rue des Blanchers 31000 TOULOUSE;43.602254,1.438361;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
